Year,Arts,Education,Engineering,Law
1989,1800.00,1800.00,1800.00,1800.00
1990,1882.00,1882.00,1882.00,1882.00
1991,1993.00,1993.00,1993.00,1993.00
1992,2250.00,2250.00,2250.00,2250.00
1993,2328.00,2328.00,2328.00,2328.00
1994,2355.00,2355.00,2355.00,2355.00
1995,2409.00,2409.00,2409.00,2409.00
1996,2454.00,2454.00,2454.00,2454.00
1997,3300.00,3300.00,4700.00,5500.00
1998,3356.00,3356.00,4779.00,5593.00
1999,3409.00,3409.00,4855.00,5682.00
2000,3463.00,3463.00,4932.00,5772.00
2001,3521.00,3521.00,5015.00,5870.00
2002,3598.00,3598.00,5125.00,5999.00
2003,3680.00,3680.00,5242.00,6136.00
2004,3768.00,3768.00,5367.00,6283.00
2005,4808.00,3847.00,6849.00,8018.00
2006,4899.00,3920.00,6979.00,8170.00
2007,4996.00,3998.00,7118.00,8333.00
2008,5095.00,4077.00,7260.00,8499.00
2009,5201.00,4162.00,7412.00,8677.00
2010,5310.00,4249.00,7657.00,8849.00
2011,5442.00,4355.00,7756.00,9080.00
2012,5648.00,4520.00,8050.00,9425.00
2013,5868.00,5868.00,8363.00,9792.00
2014,6044.00,6044.00,8613.00,10085.00
2015,6152.00,6152.00,8768.00,10226.00
2016,6256.00,6256.00,8917.00,10440.00
2017,6349.00,6349.00,9050.00,10596.00
2018,6444.00,6444.00,9185.00,10754.00
2019,6566.00,6566.00,9359.00,10988.00
2020,6684.00,6684.00,9527.00,11155.00
2021,14500.00,3950.00,7950.00,14500.00
2022,14630.00,3985.00,8021.00,14630.00
2023,15142.00,4125.00,8301.00,15142.00